filename,x,y,source_x,source_y
mirror_Vertical_velocity_1_Source_x_-1.35_Source_y_-0.9.txt,-1.275,-0.900,-1.350,-0.900
mirror_Vertical_velocity_1_Source_x_-1.27_Source_y_-0.825.txt,-1.275,-0.900,-1.275,-0.825
mirror_Vertical_velocity_1_Source_x_-1.2_Source_y_-0.9.txt,-1.275,-0.900,-1.200,-0.900
Vertical_velocity_1_Source_x_-1.35_Source_y_0.9.txt,-1.275,0.900,-1.350,0.900
Vertical_velocity_1_Source_x_-1.275_Source_y_0.825.txt,-1.275,0.900,-1.275,0.825
Vertical_velocity_1_Source_x_-1.2_Source_y_0.9.txt,-1.275,0.900,-1.200,0.900
mirror_Vertical_velocity_1_Source_x_1.2_Source_y_-0.9.txt,1.275,-0.900,1.200,-0.900
mirror_Vertical_velocity_1_Source_x_1.27_Source_y_-0.825.txt,1.275,-0.900,1.275,-0.825
mirror_Vertical_velocity_1_Source_x_1.35_Source_y_-0.9.txt,1.275,-0.900,1.350,-0.900
mirror_Vertical_velocity_1_Source_x_1.2_Source_y_0.9.txt,1.275,0.900,1.200,0.900
mirror_Vertical_velocity_1_Source_x_1.27_Source_y_0.825.txt,1.275,0.900,1.275,0.825
mirror_Vertical_velocity_1_Source_x_1.35_Source_y_0.9.txt,1.275,0.900,1.350,0.900
mirror_Vertical_velocity_2_Source_x_-1.2_Source_y_-0.9.txt,-1.125,-0.900,-1.200,-0.900
mirror_Vertical_velocity_2_Source_x_-1.12_Source_y_-0.825.txt,-1.125,-0.900,-1.125,-0.825
mirror_Vertical_velocity_2_Source_x_-1.05_Source_y_-0.9.txt,-1.125,-0.900,-1.050,-0.900
Vertical_velocity_2_Source_x_-1.2_Source_y_0.9.txt,-1.125,0.900,-1.200,0.900
Vertical_velocity_2_Source_x_-1.125_Source_y_0.825.txt,-1.125,0.900,-1.125,0.825
Vertical_velocity_2_Source_x_-1.05_Source_y_0.9.txt,-1.125,0.900,-1.050,0.900
mirror_Vertical_velocity_2_Source_x_1.05_Source_y_-0.9.txt,1.125,-0.900,1.050,-0.900
mirror_Vertical_velocity_2_Source_x_1.12_Source_y_-0.825.txt,1.125,-0.900,1.125,-0.825
mirror_Vertical_velocity_2_Source_x_1.2_Source_y_-0.9.txt,1.125,-0.900,1.200,-0.900
mirror_Vertical_velocity_2_Source_x_1.05_Source_y_0.9.txt,1.125,0.900,1.050,0.900
mirror_Vertical_velocity_2_Source_x_1.12_Source_y_0.825.txt,1.125,0.900,1.125,0.825
mirror_Vertical_velocity_2_Source_x_1.2_Source_y_0.9.txt,1.125,0.900,1.200,0.900
mirror_Vertical_velocity_3_Source_x_-1.05_Source_y_-0.9.txt,-0.975,-0.900,-1.050,-0.900
mirror_Vertical_velocity_3_Source_x_-0.975_Source_y_-0.825.txt,-0.975,-0.900,-0.975,-0.825
mirror_Vertical_velocity_3_Source_x_-0.9_Source_y_-0.9.txt,-0.975,-0.900,-0.900,-0.900
Vertical_velocity_3_Source_x_-1.05_Source_y_0.9.txt,-0.975,0.900,-1.050,0.900
Vertical_velocity_3_Source_x_-0.975_Source_y_0.825.txt,-0.975,0.900,-0.975,0.825
Vertical_velocity_3_Source_x_-0.9_Source_y_0.9.txt,-0.975,0.900,-0.900,0.900
mirror_Vertical_velocity_3_Source_x_0.9_Source_y_-0.9.txt,0.975,-0.900,0.900,-0.900
mirror_Vertical_velocity_3_Source_x_0.975_Source_y_-0.825.txt,0.975,-0.900,0.975,-0.825
mirror_Vertical_velocity_3_Source_x_1.05_Source_y_-0.9.txt,0.975,-0.900,1.050,-0.900
mirror_Vertical_velocity_3_Source_x_0.9_Source_y_0.9.txt,0.975,0.900,0.900,0.900
mirror_Vertical_velocity_3_Source_x_0.975_Source_y_0.825.txt,0.975,0.900,0.975,0.825
mirror_Vertical_velocity_3_Source_x_1.05_Source_y_0.9.txt,0.975,0.900,1.050,0.900
mirror_Vertical_velocity_4_Source_x_-0.9_Source_y_-0.9.txt,-0.825,-0.900,-0.900,-0.900
mirror_Vertical_velocity_4_Source_x_-0.825_Source_y_-0.825.txt,-0.825,-0.900,-0.825,-0.825
mirror_Vertical_velocity_4_Source_x_-0.75_Source_y_-0.9.txt,-0.825,-0.900,-0.750,-0.900
Vertical_velocity_4_Source_x_-0.9_Source_y_0.9.txt,-0.825,0.900,-0.900,0.900
Vertical_velocity_4_Source_x_-0.825_Source_y_0.825.txt,-0.825,0.900,-0.825,0.825
Vertical_velocity_4_Source_x_-0.75_Source_y_0.9.txt,-0.825,0.900,-0.750,0.900
mirror_Vertical_velocity_4_Source_x_0.75_Source_y_-0.9.txt,0.825,-0.900,0.750,-0.900
mirror_Vertical_velocity_4_Source_x_0.825_Source_y_-0.825.txt,0.825,-0.900,0.825,-0.825
mirror_Vertical_velocity_4_Source_x_0.9_Source_y_-0.9.txt,0.825,-0.900,0.900,-0.900
mirror_Vertical_velocity_4_Source_x_0.75_Source_y_0.9.txt,0.825,0.900,0.750,0.900
mirror_Vertical_velocity_4_Source_x_0.825_Source_y_0.825.txt,0.825,0.900,0.825,0.825
mirror_Vertical_velocity_4_Source_x_0.9_Source_y_0.9.txt,0.825,0.900,0.900,0.900
mirror_Vertical_velocity_5_Source_x_-0.75_Source_y_-0.9.txt,-0.675,-0.900,-0.750,-0.900
mirror_Vertical_velocity_5_Source_x_-0.675_Source_y_-0.825.txt,-0.675,-0.900,-0.675,-0.825
mirror_Vertical_velocity_5_Source_x_-0.6_Source_y_-0.9.txt,-0.675,-0.900,-0.600,-0.900
Vertical_velocity_5_Source_x_-0.75_Source_y_0.9.txt,-0.675,0.900,-0.750,0.900
Vertical_velocity_5_Source_x_-0.675_Source_y_0.825.txt,-0.675,0.900,-0.675,0.825
Vertical_velocity_5_Source_x_-0.6_Source_y_0.9.txt,-0.675,0.900,-0.600,0.900
mirror_Vertical_velocity_5_Source_x_0.6_Source_y_-0.9.txt,0.675,-0.900,0.600,-0.900
mirror_Vertical_velocity_5_Source_x_0.675_Source_y_-0.825.txt,0.675,-0.900,0.675,-0.825
mirror_Vertical_velocity_5_Source_x_0.75_Source_y_-0.9.txt,0.675,-0.900,0.750,-0.900
mirror_Vertical_velocity_5_Source_x_0.6_Source_y_0.9.txt,0.675,0.900,0.600,0.900
mirror_Vertical_velocity_5_Source_x_0.675_Source_y_0.825.txt,0.675,0.900,0.675,0.825
mirror_Vertical_velocity_5_Source_x_0.75_Source_y_0.9.txt,0.675,0.900,0.750,0.900
mirror_Vertical_velocity_6_Source_x_-0.6_Source_y_-0.9.txt,-0.525,-0.900,-0.600,-0.900
mirror_Vertical_velocity_6_Source_x_-0.525_Source_y_-0.825.txt,-0.525,-0.900,-0.525,-0.825
